type,gender,vage,age,ageg,region,ee,num,cost
B,M,1,66,7,SH,5.41,2,1997.5
B,M,1,66,7,SZ,1.965,1,2709.8
B,M,1,66,7,CQ,0.318,0,0
B,M,1,67,7,BJ,21.099,8,45171.55
B,M,1,67,7,SH,3.345,2,2037.5
B,M,1,67,7,CQ,2,2,3932.5
B,M,1,68,7,BJ,19.525,14,67284.75
B,M,1,68,7,SH,0.841,5,21256.8
B,M,1,68,7,CQ,0.263,1,340
B,M,1,69,7,BJ,12.974,10,19311.15
B,M,1,69,7,SH,1,1,1275
B,M,1,69,7,CQ,1.627,1,1275
B,M,1,70,7,BJ,54.225,31,107062.17
B,M,1,70,7,SH,5.214,5,4080
B,M,1,70,7,SZ,2.617,1,1360
B,M,1,70,7,TJ,1,0,0
B,M,1,70,7,CQ,2.819,1,1513
C,F,1,18,1,BJ,2.822,4,21547.35
C,F,1,18,1,SH,1,0,0
C,F,1,18,1,SZ,0.828,1,1530
C,F,1,18,1,TJ,1,0,0
C,F,1,19,1,BJ,5.332,2,5346.5
C,F,1,19,1,SH,1,1,1785
C,F,1,19,1,SZ,1,0,0
C,F,1,20,1,BJ,10.646,5,6790.65
C,F,1,20,1,SH,1,0,0
C,F,1,20,1,SZ,1,1,13379
C,F,1,20,1,CQ,1,0,0
C,F,1,21,2,BJ,28.167,21,41593.95
C,F,1,21,2,SH,2.997,2,4603
C,F,1,21,2,SZ,1,2,2591.65
C,F,1,21,2,TJ,2,0,0
C,F,1,22,2,BJ,39.814,30,54327.16
C,F,1,22,2,SH,0.812,1,1020
C,F,1,22,2,SZ,0.792,0,0
C,F,1,22,2,TJ,2.211,1,425
C,F,1,22,2,CQ,1.666,2,1275
C,F,1,23,2,BJ,80.531,64,278967.05
C,F,1,23,2,SH,7.489,5,5850
C,F,1,23,2,SZ,0.129,0,0
C,F,1,23,2,TJ,3.196,1,6567.1
C,F,1,23,2,CQ,2.923,1,297.5
C,F,1,24,2,BJ,93.858,53,81056.55
C,F,1,24,2,SH,10.492,8,205942.5
C,F,1,24,2,SZ,2.312,2,2975
C,F,1,24,2,TJ,2.852,2,2301.8
C,F,1,24,2,CQ,10.635,8,32544.38
C,F,1,25,2,BJ,128.817,98,222775.7
C,F,1,25,2,SH,13.063,6,5661.51
C,F,1,25,2,SZ,2.332,1,3833.5
C,F,1,25,2,TJ,6.431,2,8024
C,F,1,25,2,CQ,4.291,2,1700
C,F,1,26,3,BJ,172.147,127,285405.9
C,F,1,26,3,SH,20.387,14,9746.5
C,F,1,26,3,SZ,4.356,3,3740
C,F,1,26,3,TJ,4.79,7,6749
C,F,1,26,3,CQ,7.919,6,24688.45
C,F,1,27,3,BJ,218.858,158,392882.3
C,F,1,27,3,SH,25.113,14,28161
C,F,1,27,3,SZ,4.821,5,6524.6
C,F,1,27,3,TJ,8.028,6,4785.5
C,F,1,27,3,CQ,12.928,6,8289.2
C,F,1,28,3,BJ,283.393,177,290293
C,F,1,28,3,SH,27.354,14,10640
C,F,1,28,3,SZ,11.379,8,45887.35
C,F,1,28,3,TJ,5.892,4,38828
C,F,1,28,3,CQ,20.788,17,17964.22
C,F,1,29,3,BJ,277.712,178,544030.51
C,F,1,29,3,SH,23.424,6,7442.9
C,F,1,29,3,SZ,8.579,9,14984.95
C,F,1,29,3,TJ,2.068,2,1615
C,F,1,29,3,CQ,21.089,12,18932.05
C,F,1,30,3,BJ,246.906,164,395361.25
C,F,1,30,3,SH,21.14,13,21051.75
C,F,1,30,3,SZ,13.424,14,14979.65
C,F,1,30,3,TJ,4.055,1,170
C,F,1,30,3,CQ,9.8,6,5035.8
C,F,1,31,4,BJ,213.839,132,210180.45
C,F,1,31,4,SH,14.33,12,21134.7
C,F,1,31,4,SZ,7.757,3,2388.5
C,F,1,31,4,TJ,4.664,2,4326.5
C,F,1,31,4,CQ,10.782,8,4611.25
C,F,1,32,4,BJ,201.522,128,260342.1
C,F,1,32,4,SH,30.553,11,19686.5
C,F,1,32,4,SZ,6.783,3,10463.5
C,F,1,32,4,TJ,1.238,0,0
C,F,1,32,4,CQ,12.78,7,6103
C,F,1,33,4,BJ,168.07,106,250953.54
C,F,1,33,4,SH,22.136,18,88251.25
C,F,1,33,4,SZ,6.77,5,6081.75
C,F,1,33,4,TJ,3.885,9,7967
C,F,1,33,4,CQ,7.963,5,3230
C,F,1,34,4,BJ,176.703,107,236196.11
C,F,1,34,4,SH,16.479,5,4653.75
C,F,1,34,4,SZ,4.556,5,39833.2
C,F,1,34,4,TJ,3.989,6,4516.05
C,F,1,34,4,CQ,8.007,9,5999.5
